,address,city,name,rating,review_count
0,4025 Gaston Avenue,Dallas,Starbucks,2.0,127
0,2380 Field Street,Dallas,Starbucks,4.0,2
0,9440 Marsh Ln,Dallas,Starbucks,5.0,1
0,2200 Ross Ave,Dallas,Starbucks,2.5,10
0,2218 Bryan St,Dallas,Starbucks,3.0,2
0,3701 W Northwest Hwy,Dallas,Starbucks,2.5,28
0,1717 N. Akard,Dallas,Starbucks,2.5,21
0,500 N. Akard St.,Dallas,Starbucks,4.0,14
0,1700 Pacific Avenue,Dallas,Starbucks,3.5,19
0,102 Preston Royal Shopping Ctr,Dallas,Starbucks,3.5,30
0,1201 Elm Street,Dallas,Starbucks,3.5,31
0,208 S Akard St,Dallas,Starbucks,4.0,13
0,1111 Mockingbird Lane,Dallas,Starbucks,3.0,51
0,7325 Gaston Ave,Dallas,Starbucks,2.5,50
0,5527 Erl Thorton Fwy,Dallas,Starbucks,2.0,10
0,7190 Skillman Road,Dallas,Starbucks,2.0,17
0,11919 Preston Road,Dallas,Starbucks,2.5,28
0,7718 Forest Lane,Dallas,Starbucks,3.0,34
0,8520 Abrams Rd,Dallas,Starbucks,3.0,43
0,12262 Inwood Road,Dallas,Starbucks,3.0,47
0,10141 E Northwest Hwy,Dallas,Starbucks,1.5,12
0,2285 W. Northwest Highway,Dallas,Starbucks,3.0,41
0,9440 Garland Road,Dallas,Starbucks,3.5,52
0,9140 Forest Lane,Dallas,Starbucks,3.0,6
0,3757 Forest Lane,Dallas,Starbucks,3.0,3
0,8698 Skillman St,Dallas,Starbucks,1.0,2
0,7995 Lbj,Dallas,Starbucks,3.5,41
0,3100 Forest Lane,Dallas,Starbucks,2.5,46
0,13350 Dallas Pkwy,Dallas,Starbucks,2.5,31
0,13556 Preston Rd,Dallas,Starbucks,3.0,73
0,5223 Alpha Road,Dallas,Starbucks,4.0,44
0,315 South Hampton,Dallas,Starbucks,3.0,12
0,1601 N Cockrell Hill,Dallas,Starbucks,2.5,69
0,14715 Coit Rd,Dallas,Starbucks,3.0,37
0,6859 Arapaho,Dallas,Starbucks,3.0,20
0,1380 W Campbell Rd,Dallas,Starbucks,3.0,9
0,16731 Coit Rd,Dallas,Starbucks,2.5,5
0,18208 Preston Road,Dallas,Starbucks,3.0,53
0,4727 Frankford Road,Dallas,Starbucks,3.0,67
0,3911 Walton Walker,Dallas,Starbucks,1.0,1
0,3555 Frankford Road,Dallas,Starbucks,3.0,85
0,3200 E Airfield Dr,Dallas,Starbucks,2.5,60
0,3620 W Camp Wisdom Road,Dallas,Starbucks,3.0,18
0,39739 Lbj Fwy,Dallas,Starbucks,2.5,8
0,3200 E Airfield Dr,Dallas,Starbucks,2.5,27
0,3200 E Airfield Dr,Dallas,Starbucks,4.0,1
0,3200 E Airfield Dr,Dallas,Starbucks,2.5,49
0,B9 Dfw Airport,Dallas,Starbucks,2.5,10
0,3426 Oak Lawn Avenue,Dallas,Subway Restaurants,1.5,13
0,6813 W Northwest Hwy,Dallas,Subway Restaurants,2.5,3
0,5500 Greenville Ave,Dallas,Subway Restaurants,2.5,16
0,2525 Wycliff Avenue,Dallas,Subway Restaurants,2.5,8
0,2123 Greenville Ave,Dallas,Subway Restaurants,4.5,16
0,6402 E Mockingbird Ln,Dallas,Subway Restaurants,3.0,9
0,5323 Harry Hines Blvd,Dallas,Subway,2.5,5
0,6464 East Northwest Highway,Dallas,Subway Restaurants,3.5,9
0,9669 N Central Expressway,Dallas,Subway Restaurants,2.0,8
0,1710 West Mockingbird Lane,Dallas,Subway Restaurants,2.0,5
0,2025 Irving Blvd,Dallas,Subway Restaurants,2.5,3
0,1525 Inwood Rd,Dallas,Subway Restaurants,1.5,3
0,2100 Ross Ave,Dallas,Subway Restaurants,3.5,10
0,3701 W. Northwest Hwy.,Dallas,Subway Restaurants,2.5,3
0,400 N St Paul St,Dallas,Subway Restaurants,4.0,3
0,7470 Greenville Ave,Dallas,Subway,5.0,1
0,1700 Pacific Ave,Dallas,Subway Restaurants,5.0,5
0,6760 Abrams Rd,Dallas,Subway Restaurants,2.0,7
0,3211 W Northwest Hwy,Dallas,Subway,2.5,3
0,1302 Elm St,Dallas,Subway Restaurants,2.0,19
0,901 Main Street,Dallas,Subway Restaurants,1.0,2
0,509 Elm Street,Dallas,Subway Restaurants,3.0,11
0,1222 Commerce Street,Dallas,Subway Restaurants,1.0,3
0,420 S Ervay St,Dallas,Subway Restaurants,2.0,7
0,306 South Record St,Dallas,Subway Restaurants,2.0,5
0,10053 Marsh Lane,Dallas,Subway Restaurants,3.0,7
0,5416 E Grand Avenue,Dallas,Subway Restaurants,2.5,8
0,3260 Irving Blvd,Dallas,Subway Restaurants,1.5,3
0,2445 W Northwest Hwy,Dallas,Subway Restaurants,2.5,7
0,11828 Inwood Rd,Dallas,Subway Restaurants,1.0,6
0,2231 Singleton Blvd,Dallas,Subway Restaurants,1.0,4
0,10233 E NW Highway,Dallas,Subway Restaurants,3.0,7
0,9660 Audelia Road,Dallas,Subway Restaurants,1.0,2
0,1441 N Beckley Ave,Dallas,Subway,4.5,3
0,1219 N Beckley Ave,Dallas,Subway Restaurants,5.0,1
0,9440 Garland Road   Unit 710,Dallas,Subway Restaurants,3.5,11
0,3612 Forest Lane,Dallas,Subway Restaurants,3.5,7
0,9730 Abrams Road,Dallas,Subway Restaurants,2.5,3
0,13015 Coit Rd,Dallas,Subway Restaurants,2.5,15
0,13550 N. Dallas Pkwy,Dallas,Subway Restaurants,2.0,6
0,13556 Preston Road,Dallas,Subway Restaurants,3.5,7
0,428 E Jefferson,Dallas,Subway Restaurants,2.0,5
0,5924 Samuell Blvd,Dallas,Subway Restaurants,1.0,9
0,11500 Jupiter Rd,Dallas,Subway Restaurants,2.5,8
0,9410 Walnut Street,Dallas,Subway Restaurants,2.0,6
0,10660 Plano Rd,Dallas,Subway Restaurants,3.5,8
0,13440 TI Blvd,Dallas,Subway Restaurants,3.0,5
0,3302 N Buckner Blvd,Dallas,Subway Restaurants,2.5,5
0,2596 Gus Thomasson Rd,Dallas,Subway Restaurants,1.0,1
0,1515 N Cockrell Hill Rd,Dallas,Subway Restaurants,3.5,4
0,14891 Preston Road,Dallas,Subway Restaurants,3.0,3
0,910 S Hampton Rd,Dallas,Subway Restaurants,3.0,5
0,5100 Beltline,Dallas,Subway Restaurants,2.5,2
0,650 E Buckingham Rd,Dallas,Subway Restaurants,3.5,3
0,655 West Illinois Ave,Dallas,Subway Restaurants,2.5,5
0,6859 Arapaho Rd,Dallas,Subway,3.5,10
0,2943 S Buckner Blvd,Dallas,Subway Restaurants,2.5,3
0,16110 Dallas Pky,Dallas,Subway Restaurants,4.0,4
0,3420 W. Illinois Ave.,Dallas,Subway Restaurants,1.0,2
0,4849 W Illinois Ave,Dallas,Subway,1.0,3
